scenario,tau,theta,shear_sq,det_J,volume,volume_bound_exp,volume_bound_cubic,cells_occupied,entropy_bits,shape_constant_c,in_R_regime
isotropic,0.0,-0.6,0.0,1,4.188790205,4.188790205,4.188790205,4546.75,11.963039,1.085457,1
isotropic,0.05,-0.63170565,0.0,0.96968241,4.061796181,4.064992745,4.064378947,4422.0,11.923358,1.088681,1
isotropic,0.1,-0.66490975,0.0,0.9387598989,3.932268269,3.944854053,3.94245583,4294.75,11.88197,1.092181,1
isotropic,0.15,-0.69975413,0.0,0.9072792645,3.800402496,3.828265997,3.822995723,4165.0,11.836605,1.095937,1
isotropic,0.2,-0.73639727,0.0,0.8752892175,3.6664029,3.715123638,3.705973491,4045.0,11.79363,1.103261,1
isotropic,0.25,-0.77501687,0.0,0.8428404252,3.530481717,3.605325141,3.591364002,3901.5,11.746867,1.10509,1
isotropic,0.3,-0.81581293,0.0,0.8099855592,3.392859576,3.49877168,3.479142123,3764.75,11.700203,1.10961,1
isotropic,0.35,-0.85901148,0.0,0.7767793465,3.253765718,3.39536735,3.369282723,3625.75,11.646937,1.114324,1
isotropic,0.4,-0.90486905,0.0,0.7432786248,3.113438223,3.295019079,3.261760667,3488.75,11.590264,1.120546,1
isotropic,0.45,-0.95367799,0.0,0.7095424019,2.972124263,3.197636548,3.156550823,3347.0,11.529763,1.126131,1
isotropic,0.5,-1.00577316,0.0,0.6756319211,2.830080373,3.103132106,3.053628059,3197.75,11.465806,1.129915,1
isotropic,0.55,-1.06153991,0.0,0.6416107313,2.687572747,3.011420693,2.952967242,3051.75,11.398579,1.135504,1
isotropic,0.6,-1.12142413,0.0,0.6075447635,2.544877554,2.922419761,2.854543238,2900.5,11.329279,1.13974,1
isotropic,0.65,-1.18594466,0.0,0.5735024144,2.402281296,2.836049204,2.758330916,2750.25,11.25476,1.144849,1
isotropic,0.7,-1.25570894,0.0,0.5395546383,2.260081184,2.752231283,2.664305142,2610.5,11.179939,1.155047,1
isotropic,0.75,-1.33143286,0.0,0.5057750467,2.118585562,2.670890556,2.572440785,2460.5,11.096898,1.161388,1
isotropic,0.8,-1.4139661,0.0,0.4722400196,1.978114368,2.59195381,2.48271271,2322.0,11.008022,1.173845,1
isotropic,0.85,-1.50432504,0.0,0.439028827,1.83899965,2.515349999,2.395095785,2164.5,10.909527,1.176999,1
isotropic,0.9,-1.60373576,0.0,0.4062237648,1.701586127,2.441010171,2.309564878,2016.0,10.803851,1.184777,1
isotropic,0.95,-1.71369116,0.0,0.3739103057,1.566231826,2.368867418,2.226094855,1874.25,10.696753,1.196662,1
isotropic,1.0,-1.83602766,0.0,0.3421772683,1.43330879,2.298856806,2.144660585,1731.75,10.576101,1.208218,1
isotropic,1.05,-1.97303007,0.0,0.3111170079,1.303203875,2.230915319,2.065236934,1583.0,10.45086,1.214699,1
isotropic,1.1,-2.12757724,0.0,0.2808256321,1.176319657,2.164981807,1.987798769,1452.5,10.316012,1.234783,1
isotropic,1.15,-2.30334848,0.0,0.2514032479,1.053075462,2.100996925,1.912320959,1315.0,10.168372,1.248723,1
isotropic,1.2,-2.50512221,0.0,0.2229542446,0.933908556,2.038903082,1.838778369,1188.25,10.011189,1.272341,1
isotropic,1.25,-2.73921913,0.0,0.1955876237,0.8192755224,1.978644389,1.767145868,1061.0,9.83402,1.295047,1
isotropic,1.3,-3.01417831,0.0,0.1694173845,0.7096538806,1.92016661,1.697398322,928.0,9.63849,1.30768,1
isotropic,1.35,-3.34182285,0.0,0.1445629826,0.6055440055,1.86341711,1.629510599,810.0,9.430048,1.33764,1
isotropic,1.4,-3.7390044,0.0,0.1211498818,0.5074714383,1.808344812,1.563457566,700.0,9.191743,1.379388,1
isotropic,1.45,-4.23059091,0.0,0.09931022898,0.4159897144,1.754900146,1.499214091,583.5,8.923212,1.402679,1
isotropic,1.5,-4.8548698,0.0,0.07918369693,0.3316838941,1.703035008,1.43675504,486.25,8.625703,1.466004,1
isotropic,1.55,-5.67399768,0.0,0.06091856278,0.2551750791,1.652702717,1.376055281,388.5,8.27663,1.522484,1
isotropic,1.6,-6.7960054,0.0,0.04467313003,0.1871263695,1.60385797,1.317089682,300.25,7.864838,1.604531,1
isotropic,1.65,-8.42662198,0.0,0.03061768015,0.1282510387,1.556456804,1.259833108,220.25,7.371887,1.717335,1
isotropic,1.7,-11.01176651,0.0,0.01893729723,0.07932436513,1.510456553,1.204260429,150.0,6.740164,1.89097,1
isotropic,1.75,-15.73171682,0.0,0.009836278975,0.04120210902,1.465815816,1.15034651,91.5,5.926729,2.22076,1
isotropic,1.787,-22.82772405,0.0,0.004896703806,0.02051126494,1.433633253,1.111503342,53.0,5.060106,2.583946,1
isotropic,1.8125,-32.89862251,0.0,0.002443296009,0.01023445439,1.411865611,1.085248456,35.25,4.258262,3.444248,1
isotropic,1.8305,-47.53029595,0.0,0.001203638586,0.005041789521,1.396699507,1.066966698,21.5,3.559443,4.264359,1
isotropic,1.843,-68.50173657,0.0,0.0005920778429,0.002480089869,1.386263445,1.054392582,14.5,2.828018,5.846562,1
isotropic,1.852,-100.07848446,0.0,0.0002822396411,0.001182242644,1.378797798,1.045400654,10.75,2.171826,9.092888,1
isotropic,1.857947,-143.58001016,0.0,0.0001388916047,0.0005817877932,1.373887116,1.039487582,6.5,1.628067,11.172459,0
isotropic,1.862094,-205.69737594,0.0,6.835174752e-05,0.0002863111305,1.370472396,1.03537659,4.5,1.255455,15.717168,0
isotropic,1.864991,-294.36427959,0.0,3.363840137e-05,0.0001409042062,1.368092706,1.03251205,3.25,0.877548,23.065316,0
isotropic,1.867015,-420.89110068,0.0,1.655504913e-05,6.934562764e-05,1.366431621,1.030512713,2.5,0.617281,36.0513,0
isotropic,1.868432,-601.40156216,0.0,8.147660574e-06,3.41288408e-05,1.365270732,1.029115521,2.0,0.389232,58.601463,0
isotropic,1.869424,-858.88056605,0.0,4.009969892e-06,1.67969226e-05,1.364458677,1.028138216,1.75,0.211979,104.185751,0
isotropic,1.870118,-1226.0931983,0.0,1.973575675e-06,8.266894458e-06,1.363890246,1.027454132,1.5,0.078857,181.446613,0
isotropic,1.870605,-1749.7454991,0.0,9.713371024e-07,4.06872734e-06,1.363492142,1.026975042,1.0,0.0,245.777098,0
isotropic,1.870946,-2496.41524496,0.0,4.780671907e-07,2.002523166e-06,1.363213217,1.02663938,1.0,0.0,499.370003,0
isotropic,1.871185,-3561.00570277,0.0,2.352935802e-07,9.855954439e-07,1.363017734,1.026404137,1.0,0.0,1014.61508,0
isotropic,1.871352,-5078.7956228,0.0,1.158064983e-07,4.850891258e-07,1.362880699,1.026239231,1.0,0.0,2061.476844,0
isotropic,1.87147,-7242.61530084,0.0,5.69976738e-08,2.387512977e-07,1.362784619,1.026123611,1.0,0.0,4188.458909,0
isotropic,1.871552,-10327.32932345,0.0,2.805319929e-08,1.175089664e-07,1.362717246,1.026042535,1.0,0.0,8509.988903,0
isotropic,1.87161,-14724.73423443,0.0,1.380729173e-08,5.783584833e-08,1.362669997,1.025985677,1.0,0.0,17290.314378,0
isotropic,1.87165,-20993.3015923,0.0,6.795716707e-09,2.846583158e-08,1.362636859,1.025945799,1.0,0.0,35129.836178,0
isotropic,1.871679,-29929.08159106,0.0,3.344741457e-09,1.401042025e-08,1.362613615,1.025917829,1.0,0.0,71375.44642,0
isotropic,1.871699,-42666.76886421,0.0,1.646229014e-09,6.895707969e-09,1.362597311,1.025898209,1.0,0.0,145017.742117,0
moderate_shear,0.0,-0.6,0.0864,1,4.188790205,4.188790205,4.188790205,4546.75,11.963039,1.085457,1
moderate_shear,0.05,-0.63609622,0.08741491,0.9695765704,4.061352841,4.064992745,4.064378947,4419.75,11.92164,1.088246,1
moderate_shear,0.1,-0.67385347,0.08869065,0.93834528,3.930531517,3.944854053,3.94245583,4293.0,11.880788,1.092219,1
moderate_shear,0.15,-0.71344898,0.09025561,0.9063662541,3.796578087,3.828265997,3.822995723,4169.25,11.840468,1.09816,1
moderate_shear,0.2,-0.75508157,0.09214371,0.8737018183,3.659753619,3.715123638,3.705973491,4031.25,11.793802,1.101509,1
moderate_shear,0.25,-0.79897538,0.09439549,0.8404165405,3.520328573,3.605325141,3.591364002,3893.25,11.744625,1.105934,1
moderate_shear,0.3,-0.8453842,0.09705967,0.8065772787,3.378583005,3.49877168,3.479142123,3755.5,11.693345,1.111561,1
moderate_shear,0.35,-0.89459691,0.10019508,0.7722532357,3.234806789,3.39536735,3.369282723,3612.5,11.6382,1.116759,1
moderate_shear,0.4,-0.94694393,0.10387312,0.7375160208,3.089299884,3.295019079,3.261760667,3457.5,11.578295,1.119186,1
moderate_shear,0.45,-1.00280533,0.10818099,0.7024397196,2.942372617,3.197636548,3.156550823,3313.0,11.520451,1.125962,1
moderate_shear,0.5,-1.06262075,0.11322596,0.6671009727,2.79434602,3.103132106,3.053628059,3170.75,11.457086,1.134702,1
moderate_shear,0.55,-1.12690185,0.11914092,0.6315790641,2.645552197,3.011420693,2.952967242,3022.0,11.383326,1.142295,1
moderate_shear,0.6,-1.19624798,0.126092,0.5959560214,2.496334745,2.922419761,2.854543238,2856.25,11.307726,1.144177,1
moderate_shear,0.65,-1.27136611,0.13428872,0.5603167281,2.347049222,2.836049204,2.758330916,2705.5,11.226394,1.152724,1
moderate_shear,0.7,-1.35309648,0.14399812,0.5247490518,2.198063688,2.752231283,2.664305142,2553.25,11.142709,1.161591,1
moderate_shear,0.75,-1.4424459,0.15556434,0.4893439879,2.049759303,2.670890556,2.572440785,2392.5,11.050422,1.16721,1
